field,name
uuid,Uuid
group,Group
currentDay,CurrentDay
startDate,StartDate
banDay,BanDay
banReason,BanReason
trainCompleteNotified,TrainCompleteNotified
surveyCompleteNotified,SurveyCompleteNotified
score,GameScore
gameData,GameData
writing1,Writing1
writing1QualityCheckRA,Writing1QualityCheckRA
writing1QualityCheckCS,Writing1QualityCheckCS
writing4,Writing4
writing4QualityCheckRA,Writing4QualityCheckRA
writing4QualityCheckCS,Writing4QualityCheckCS
writing4Viewed,Writing4Viewed
writing5,Writing5
writing5QualityCheckRA,Writing5QualityCheckRA
writing5QualityCheckCS,Writing5QualityCheckCS
writing5Viewed,Writing5Viewed
writing6,Writing6
writing6QualityCheckRA,Writing6QualityCheckRA
writing6QualityCheckCS,Writing6QualityCheckCS
feedback6,Feedback6
feedback6Viewed,Feedback6Viewed
writing8,Writing8
writing8QualityCheckRA,Writing8QualityCheckRA
writing8QualityCheckCS,Writing8QualityCheckCS
feedback8,Feedback8
feedback8Viewed,Feedback8Viewed
survey1,Survey1
survey1IsValid,Survey1IsValid
survey23,Survey23
survey23IsValid,Survey23IsValid
survey39,Survey39
survey39IsValid,Survey39IsValid
survey99,Survey99
survey99IsValid,Survey99IsValid
